dist,BA91,BB92,BB93,BC91,BC92,BD9,x1,BE9,BF5,x2,BG9,BH9,BJ91,BJ92,x3,CBG,x4,CIG
BA91,0.0,9.1,16.9,12.1,19.1,21.1,27.6,27.6,29.5,32.5,32.0,37.5,46.2,49.7,56.2,54.4,61.1,56.3
BB92,9.1,0.0,7.8,3.0,10.0,12.0,18.5,18.5,20.4,23.4,22.9,28.4,37.1,40.6,47.1,45.3,52.0,47.2
BB93,16.9,7.8,0.0,10.8,17.8,19.8,26.3,26.3,28.2,31.2,30.7,36.2,44.9,48.4,51.9,53.1,59.8,55.0
BC91,12.1,3.0,10.8,0.0,7.0,9.0,15.5,15.5,17.4,20.4,19.9,25.4,34.1,37.6,44.1,42.3,49.0,44.2
BC92,19.1,10.0,17.8,7.0,0.0,2.0,8.5,8.5,10.4,13.4,12.9,18.4,27.1,30.6,37.1,35.3,42.0,37.2
BD9,21.1,12.0,19.8,9.0,2.0,0.0,6.5,6.5,8.4,11.4,10.9,16.4,25.1,28.6,35.1,33.3,40.0,35.2
x1,27.6,18.5,26.3,15.5,8.5,6.5,0.0,13.0,14.9,17.9,17.4,22.6,31.6,35.1,41.6,39.8,46.5,41.7
BE9,27.6,18.5,26.3,15.5,8.5,6.5,13.0,0.0,1.9,4.9,4.4,9.9,18.6,22.1,28.6,26.8,33.5,28.7
BF5,29.5,20.4,28.2,17.4,10.4,8.4,14.9,1.9,0.0,3.0,1.5,7.0,15.7,19.2,25.7,23.9,30.6,25.8
x2,32.5,23.4,31.2,20.4,13.4,11.4,17.9,4.9,3.0,0.0,4.5,10.0,18.7,22.2,28.7,26.9,33.6,28.8
BG9,32.0,22.9,30.7,19.9,12.9,10.9,17.4,4.4,1.5,4.5,0.0,5.5,14.2,17.7,24.2,22.4,29.1,24.3
BH9,37.5,28.4,36.2,25.4,18.4,16.4,22.6,9.9,7.0,10.0,5.5,0.0,8.7,12.2,18.7,16.9,23.6,18.8
BJ91,46.2,37.1,44.9,34.1,27.1,25.1,31.6,18.6,15.7,18.7,14.2,8.7,0.0,3.5,10.0,8.2,14.9,10.1
BJ92,49.7,40.6,48.4,37.6,30.6,28.6,35.1,22.1,19.2,22.2,17.7,12.2,3.5,0.0,6.5,4.7,11.4,6.6
x3,56.2,47.1,51.9,44.1,37.1,35.1,41.6,28.6,25.7,28.7,24.2,18.7,10.0,6.5,0.0,7.0,13.6,8.8
CBG,54.4,45.3,53.1,42.3,35.3,33.3,39.8,26.8,23.9,26.9,22.4,16.9,8.2,4.7,7.0,0.0,9.5,4.7
x4,61.1,52.0,59.8,49.0,42.0,40.0,46.5,33.5,30.6,33.6,29.1,23.6,14.9,11.4,13.6,9.5,0.0,4.8
CIG,56.3,47.2,55.0,44.2,37.2,35.2,41.7,28.7,25.8,28.8,24.3,18.8,10.1,6.6,8.8,4.7,4.8,0.0
