dist,x1,CIG,BL4,BL5,BL6,BL7,BL8,BM7,BM8,x2,x3,BN9,BO91,BO92,BP91,BP92,BQ9,x4
x1,0.0,4.8,7.3,12.1,14.0,15.5,17.1,19.1,20.6,25.3,33.2,24.2,29.9,39.2,45.0,49.8,53.6,58.6
CIG,4.8,0.0,2.5,7.3,9.4,10.7,12.3,14.5,16.0,20.7,28.6,19.6,25.3,34.6,40.4,45.2,49.0,54.0
BL4,7.3,2.5,0.0,4.8,6.9,8.2,9.8,12.0,13.5,18.2,26.1,17.1,22.8,32.1,37.9,42.7,46.5,51.5
BL5,12.1,7.3,4.8,0.0,2.1,3.4,5.0,7.2,8.7,13.4,21.3,12.3,18.0,27.3,33.1,37.9,41.7,46.7
BL6,14.0,9.4,6.9,2.1,0.0,1.3,2.9,5.1,6.6,11.3,19.2,10.2,15.9,25.2,31.0,35.8,39.6,44.6
BL7,15.5,10.7,8.2,3.4,1.3,0.0,1.6,3.5,4.6,9.3,17.9,8.9,14.6,23.9,29.7,34.5,38.3,43.3
BL8,17.1,12.3,9.8,5.0,2.9,1.6,0.0,4.6,5.7,10.3,19.2,10.2,15.9,25.2,31.0,35.8,39.6,44.6
BM7,19.1,14.5,12.0,7.2,5.1,3.5,4.6,0.0,1.5,8.2,14.1,5.1,10.8,20.1,25.9,30.7,34.5,39.5
BM8,20.6,16.0,13.5,8.7,6.6,4.6,5.7,1.5,0.0,9.7,15.6,6.6,12.3,21.5,27.4,32.2,36.0,41.0
x2,25.3,20.7,18.2,13.4,11.3,9.3,10.3,8.2,9.7,0.0,21.9,12.9,18.6,27.9,33.7,38.5,42.3,47.3
x3,33.2,28.6,26.1,21.3,19.2,17.9,19.2,14.1,15.6,21.9,0.0,9.3,15.0,24.3,30.1,34.9,38.7,43.7
BN9,24.2,19.6,17.1,12.3,10.2,8.9,10.2,5.1,6.6,12.9,9.3,0.0,5.7,15.0,20.8,25.6,29.4,34.4
BO91,29.9,25.3,22.8,18.0,15.9,14.6,15.9,10.8,12.3,18.6,15.0,5.7,0.0,9.3,15.1,19.9,23.7,28.7
BO92,39.2,34.6,32.1,27.3,25.2,23.9,25.2,20.1,21.5,27.9,24.3,15.0,9.3,0.0,5.8,10.6,14.4,19.4
BP91,45.0,40.4,37.9,33.1,31.0,29.7,31.0,25.9,27.4,33.7,30.1,20.8,15.1,5.8,0.0,4.8,8.6,13.6
BP92,49.8,45.2,42.7,37.9,35.8,34.5,35.8,30.7,32.2,38.5,34.9,25.6,19.9,10.6,4.8,0.0,3.8,8.8
BQ9,53.6,49.0,46.5,41.7,39.6,38.3,39.6,34.5,36.0,42.3,38.7,29.4,23.7,14.4,8.6,3.8,0.0,5.0
x4,58.6,54.0,51.5,46.7,44.6,43.3,44.6,39.5,41.0,47.3,43.7,34.4,28.7,19.4,13.6,8.8,5.0,0.0
